text,label,sublabel,subject_of_interest,font
"Onde posso encontrar informações sobre fotossíntese em livros de biologia?",searching_for_information, book_search, fotossíntese
"Preciso de um livro que explique bem termodinâmica para engenharia",searching_for_information, book_search, termodinâmica
"Qual capítulo do Halliday aborda movimento circular?",searching_for_information, book_search, movimento circular, Halliday
"Estou procurando artigos científicos sobre machine learning aplicado à medicina",searching_for_information, article_search, machine learning aplicado à medicina
"Podem me indicar um bom livro sobre história do Brasil colonial?",searching_for_information, book_search, história do Brasil colonial
"Em qual parte do livro Gray's Anatomy posso encontrar informações sobre o sistema nervoso?",searching_for_information, book_search, sistema nervoso, Gray's Anatomy
"Busco referências bibliográficas sobre psicologia cognitiva",searching_for_information, book_and_article_search, psicologia cognitiva
"Onde encontro conteúdo sobre cálculo diferencial para iniciantes?",searching_for_information, book_search, cálculo diferencial
"Preciso de indicações de livros sobre arquitetura sustentável",searching_for_information, book_search, arquitetura sustentável
"Em qual seção do livro de química orgânica posso estudar sobre alcenos?",searching_for_information, book_search, alcenos
"Quais são os melhores livros para aprender sobre inteligência artificial?",searching_for_information, book_search, inteligência artificial
"Procuro material sobre metodologia científica para minha pesquisa",searching_for_information, book_and_article_search, metodologia científica
"Onde posso encontrar informações detalhadas sobre a Revolução Francesa?",searching_for_information, book_search, Revolução Francesa
"Quero estudar sobre redes neurais, podem me indicar alguns artigos?",searching_for_information, article_search, redes neurais
"Em qual capítulo do livro de anatomia fala sobre o sistema digestório?",searching_for_information, book_search, sistema digestório
"Preciso de referências sobre administração financeira",searching_for_information, book_and_article_search, administração financeira
"Onde encontro conteúdo sobre análise de dados em Python?",searching_for_information, book_search, análise de dados em Python
"Busco livros que abordem o tema de sustentabilidade empresarial",searching_for_information, book_search, sustentabilidade empresarial
"Em qual parte do manual de direito civil posso estudar sobre contratos?",searching_for_information, book_search, contratos, manual de direito civil
"Quais artigos científicos falam sobre energia renovável?",searching_for_information, article_search, energia renovável
"Onde posso encontrar material sobre teoria dos jogos?",searching_for_information, book_and_article_search, teoria dos jogos
"Procuro livros sobre gestão de projetos ágeis",searching_for_information, book_search, gestão de projetos ágeis
"Em qual seção do livro de física posso estudar sobre eletromagnetismo?",searching_for_information, book_search, eletromagnetismo
"Quais são as melhores fontes para estudar sobre genética molecular?",searching_for_information, book_search, genética molecular
"Onde encontro conteúdo sobre arquitetura romana antiga?",searching_for_information, book_search, arquitetura romana antiga
"Preciso de indicações de livros sobre marketing digital",searching_for_information, book_search, marketing digital
"Em qual parte do livro de cálculo posso estudar sobre integrais?",searching_for_information, book_search, integrais, cálculo
"Busco artigos sobre neurociência cognitiva",searching_for_information, article_search, neurociência cognitiva
"Onde posso encontrar informações sobre geologia estrutural?",searching_for_information, book_search, geologia estrutural
